language,filename,blank,comment,code,"github.com/AlDanial/cloc v 1.96  T=0.44 s (1109.7 files/s 382773.6 lines/s)"
Bourne Shell,./scripts/documentation_build.sh,30,18,106
Bourne Shell,./shared/bin/zeek_install_plugins.sh,9,16,106
Markdown,./docs/arkime.md,83,0,105
Bourne Shell,./shared/bin/common-init.sh,15,11,104
YAML,./_config.yml,0,0,102
Markdown,./docs/README.md,7,0,102
Bourne Again Shell,./malcolm-iso/config/hooks/normal/0910-agg-build.hook.chroot,8,8,101
Bourne Shell,./scripts/build.sh,17,9,101
Dockerfile,./Dockerfiles/dashboards-helper.Dockerfile,15,2,99
YAML,./logstash/maps/http_result_codes.yaml,0,0,97
Python,./shared/bin/pcap_utils.py,36,22,93
Bourne Shell,./sensor-iso/build_via_vagrant.sh,16,3,92
Bourne Shell,./shared/bin/docker-uid-gid-setup.sh,8,6,92
Bourne Shell,./shared/bin/sensor-init.sh,23,17,92
Dockerfile,./Dockerfiles/file-upload.Dockerfile,20,5,90
YAML,./filebeat/filebeat.yml,10,15,90
YAML,./logstash/maps/zeek_log_ecs_categories.yaml,0,0,90
Bourne Shell,./logstash/scripts/logstash-start.sh,30,26,90
Python,./shared/bin/manuf-oui-parse.py,21,8,90
Python,./shared/bin/ics-oui-parse.py,17,15,89
Ruby,./logstash/ruby/mac_lookup.rb,20,4,86
Ruby,./logstash/ruby/make_unique_array.rb,22,6,86
Bourne Shell,./scripts/package_zeek_logs.sh,18,17,86
Bourne Shell,./shared/bin/yara_rules_setup.sh,13,14,86
Dockerfile,./Dockerfiles/api.Dockerfile,18,2,85
Python,./arkime/scripts/bs4_remove_div.py,16,9,85
JSON,./dashboards/anomaly_detectors/action_result_user.json,0,0,85
Dockerfile,./Dockerfiles/netbox.Dockerfile,15,3,83
Bourne Shell,./shared/bin/zeek_intel_setup.sh,20,21,83
Dockerfile,./Dockerfiles/htadmin.Dockerfile,14,4,82
Dockerfile,./Dockerfiles/pcap-capture.Dockerfile,13,9,81
Bourne Shell,./arkime/scripts/initarkime.sh,28,11,81
Markdown,./docs/api-document-lookup.md,7,0,81
Text,./docs/images/hedgehog/logo/font/ubuntumono/UFL.txt,15,0,81
Python,./shared/bin/fstab.py,28,7,81
Bourne Shell,./malcolm-iso/build_via_vagrant.sh,18,3,79
JSON,./dashboards/alerting/monitors/malcolm_api_loopback_monitor.json,0,0,78
CSS,./sensor-iso/interface/sensor_interface/static/css/custom.css,14,1,78
Markdown,./docs/quickstart.md,20,0,77
YAML,./logstash/maps/sip_result_codes.yaml,0,0,76
Ruby,./logstash/ruby/compact_event_hash.rb,24,3,76
YAML,./.github/workflows/nginx-build-and-push-ghcr.yml,2,0,74
Markdown,./docs/malcolm-config.md,6,0,73
Python,./filebeat/scripts/zeek-log-field-bitmap.py,28,59,73
Markdown,./docs/authsetup.md,33,0,72
Dockerfile,./Dockerfiles/pcap-monitor.Dockerfile,13,5,69
Python,./sensor-iso/interface/sensor_interface/routes.py,38,31,69
Markdown,./docs/asset-interaction-analysis.md,32,0,68
Bourne Shell,./filebeat/scripts/filebeat-process-zeek-folder.sh,18,12,67
Bourne Shell,./sensor-iso/interface/sensor_ctl/supervisor.init/arkime_config_populate.sh,21,16,66
Dockerfile,./Dockerfiles/name-map-ui.Dockerfile,16,2,65
Markdown,./docs/queries-cheat-sheet.md,10,0,64
Bourne Shell,./shared/bin/prune_files.sh,25,10,64
Markdown,./docs/host-config-linux.md,28,0,63
Bourne Shell,./sensor-iso/interface/sensor_ctl/supervisor.sh,25,13,63
YAML,./.github/workflows/arkime-build-and-push-ghcr.yml,2,0,62
Dockerfile,./arkime/arkime_regression_test_harness/Dockerfiles/arkime.Dockerfile,11,0,62
Markdown,./docs/api-event-logging.md,6,0,61
INI,./sensor-iso/interface/sensor_ctl/arkime/config.ini,2,0,61
YAML,./.github/workflows/api-build-and-push-ghcr.yml,2,0,60
YAML,./.github/workflows/dashboards-build-and-push-ghcr.yml,2,0,60
YAML,./.github/workflows/dashboards-helper-build-and-push-ghcr.yml,2,0,60
YAML,./.github/workflows/file-monitor-build-and-push-ghcr.yml,2,0,60
YAML,./.github/workflows/file-upload-build-and-push-ghcr.yml,2,0,60
YAML,./.github/workflows/filebeat-build-and-push-ghcr.yml,2,0,60
YAML,./.github/workflows/freq-build-and-push-ghcr.yml,2,0,60
YAML,./.github/workflows/htadmin-build-and-push-ghcr.yml,2,0,60
YAML,./.github/workflows/logstash-build-and-push-ghcr.yml,2,0,60
YAML,./.github/workflows/name-map-ui-build-and-push-ghcr.yml,2,0,60
YAML,./.github/workflows/netbox-build-and-push-ghcr.yml,2,0,60
YAML,./.github/workflows/pcap-capture-build-and-push-ghcr.yml,2,0,60
YAML,./.github/workflows/pcap-monitor-build-and-push-ghcr.yml,2,0,60
YAML,./.github/workflows/suricata-build-and-push-ghcr.yml,2,0,60
YAML,./.github/workflows/zeek-build-and-push-ghcr.yml,2,0,60
